Id,Beds,Baths,ListingType,Area,Population,Schools,Colleges,Universities,Amenties,Airbnbs,CityName,Price,AveragePrice,AboveBelowAvg
M73000004-25850840,4,2,Single Family,1755,11059,15,0,0,53,31,Hamilton,999999,543702,A
M73000004-25850892,3,4,Single Family,1699,132485,16,0,0,87,25,Kingston,739900,713186,A
M73000004-25850894,4,2,Single Family,2212,19088,0,0,0,62,45,Niagara-on-the-Lake,1399000,1651537,B
M73000004-25851074,4,3,Single Family,2515,33232,3,2,0,6,24,Stratford,943425,766153,A
M73000004-25851216,4,2,Single Family,1050,136803,7,0,0,17,7,St. Catharines,599000,648367,B
M73000004-25851234,4,3,Single Family,2515,33232,3,2,0,6,24,Stratford,943425,766153,A
M73000004-25851701,2,1,Single Family,660,1442,0,0,0,0,0,Englehart,259900,1071300,B
M73000004-25851728,1,1,Condo,471,11059,2,0,0,138,28,Hamilton,299900,543702,B
M73000004-25851873,3,2,Single Family,1528,12966,0,0,0,0,0,Tiny,1099900,1087870,A
M73000004-25851967,5,4,Single Family,2571,25719,0,0,0,13,24,Lincoln,2398000,773433,A
M73000004-25852496,0,0,Single Family,2519,11059,3,0,0,18,7,Hamilton,1278889,543702,A
M73000004-25852594,6,4,Single Family,2754,94415,7,0,0,19,43,Niagara Falls,1495000,593623,A
M73000004-25852926,3,2,Single Family,1400,136803,9,0,0,28,20,St. Catharines,679000,648367,A
M73000004-25853003,2,2,Single Family,1047,94415,15,0,0,49,48,Niagara Falls,560000,593623,B
M73000004-25853039,5,3,Multi-Family,1141,46705,1,0,0,0,7,Woodstock,449900,659229,B
M73000004-25853868,1,1,Condo,846,11059,4,0,0,30,14,Hamilton,499999,543702,B
M73000004-25854085,3,4,Single Family,2693,11059,14,0,0,205,47,Hamilton,1299997,543702,A
M73000004-25854111,5,3,Single Family,2064,422324,15,1,0,50,15,London,1099000,691690,A
M73000004-25854145,6,5,Multi-Family,3939,104688,0,0,0,0,0,Brantford,2349000,615780,A
M73000004-25854207,3,3,Rental,1349,422324,30,0,1,70,63,London,3200,691690,B
M73000004-25854376,4,2,Single Family,2310,11059,0,0,0,16,5,Hamilton,1049000,543702,A
M73000004-25854385,5,4,Condo,1520,143740,4,0,0,29,20,Guelph,779900,640614,A
M73000004-25854503,0,0,Single Family,442,14967,0,0,0,0,0,KENORA,105000,500069,B
M73000004-25855200,4,3,Single Family,2797,104688,27,1,0,53,38,Brantford,949900,615780,A
M73000004-25855205,3,2,Single Family,935,104688,8,0,0,18,21,Brantford,683536,615780,A
M73000004-25855220,3,2,Single Family,1730,23017,0,0,0,0,0,Oro-Medonte,2299000,1562528,A
M73000004-25855229,3,1,Single Family,1100,5280,0,0,0,0,0,Seguin,999900,2393568,B
M73000004-25855332,4,2,Single Family,1100,55750,5,1,0,58,28,Welland,699900,479693,A
M73000004-25855824,5,3,Single Family,2984,132979,0,0,0,0,0,Milton,1999900,865171,A
M73000004-25855975,2,2,Condo,1215,1017449,2,0,0,65,10,Ottawa,715000,496610,A
M73000004-25856081,3,1,Single Family,1050,136803,10,0,1,101,36,St. Catharines,575000,648367,B
M73000004-25856140,6,4,Multi-Family,2106,23816,3,0,0,13,25,Thorold,472114,583404,B
M73000004-25856452,2,2,Condo,1042,24811,1,0,0,21,28,Collingwood,649900,616427,A
M73000004-25856808,4,4,Single Family,1596,108843,11,1,1,22,43,Thunder Bay,399900,432568,B
M73000004-25856833,3,2,Single Family,1198,20033,5,0,0,23,19,Port Colborne,589900,658762,B
M73000004-25856861,6,4,Single Family,4453,28883,2,0,0,18,22,Grimsby,2199900,754703,A
M73000004-25857726,2,2,Single Family,2235,32901,4,0,0,11,13,Fort Erie,799900,669720,A
M73000004-25857760,3,3,Single Family,1700,24862,0,0,0,0,0,Wasaga Beach,699000,619205,A
M73000004-25857847,3,2,Single Family,1572,186948,4,0,0,89,20,Burlington,1599000,1085058,A
M73000004-25858229,2,2,Condo,857,186948,0,0,0,58,6,Burlington,898000,1085058,B
M73000004-25858349,3,5,Rental,3715,28883,6,0,0,28,30,Grimsby,4500,754703,B
M73000004-25858915,2,1,Condo,879,21147,0,0,0,6,15,Huntsville,689000,850383,B
M73000004-25858949,4,3,Single Family,1681,213759,0,0,0,88,10,Oakville,5250,953919,B
M73000004-25859055,3,2,Condo/Townhome,1415,422324,5,0,1,67,36,London,424900,691690,B
M73000004-25859080,3,1,Single Family,680,24862,1,0,0,0,12,Wasaga Beach,159900,619205,B
M73000004-25859129,3,3,Condo,1480,422324,7,0,0,48,23,London,775285,691690,A
M73000004-25859153,3,2,Single Family,896,11059,7,0,0,39,18,Hamilton,544900,543702,A
M73000004-25859234,3,1,Single Family,924,7388,3,1,0,4,3,Dryden,169000,376967,B
M73000004-25859467,6,4,Single Family,3299,213759,0,0,0,0,0,Oakville,2499900,953919,A
M73000004-25859503,3,4,Single Family,2500,24811,4,0,0,49,18,Collingwood,1695000,616427,A
M73000004-25859843,3,3,Single Family,2346,23017,0,0,0,0,0,Oro-Medonte,1604900,1562528,A
M73000004-25859845,4,4,Single Family,3263,23017,0,0,0,0,0,Oro-Medonte,1708900,1562528,A
M73000004-25859957,2,1,Rental,794,11059,0,0,0,0,0,Hamilton,2495,543702,B
M73000004-25860138,4,3,Single Family,1239,422324,6,0,0,29,10,London,738000,691690,A
M73000004-25860143,4,3,Single Family,1820,32901,0,0,0,7,32,Fort Erie,839900,669720,A
M73000004-25860145,2,1,Condo,468,17305,6,1,0,18,28,Bracebridge,399900,1197393,B
M73000004-25860146,3,2,Single Family,1475,7652,0,0,0,0,0,Muskoka Lakes,599900,875794,B
M73000004-25860321,4,2,Single Family,2000,656480,12,0,0,20,5,Brampton,799000,597778,A
M73000004-25860384,2,1,Single Family,1100,13131,0,0,0,0,0,West Grey,174900,1173032,B
M73000004-25860392,4,3,Single Family,1780,43326,0,0,0,0,0,Innisfil,2500000,869740,A
M73000004-25860765,3,2,Single Family,1023,19088,1,0,0,11,15,Niagara-on-the-Lake,848982,1651537,B
M73000004-25860791,7,3,Single Family,2656,17817,1,1,0,6,14,Midland,599900,787800,B
M73000004-25860866,6,5,Single Family,3617,11059,23,1,1,66,48,Hamilton,1995000,543702,A
M73000004-25861097,1,1,Single Family,630,13157,0,0,0,1,15,Gravenhurst,139900,836966,B
M73000004-25861328,2,2,Single Family,1450,308,0,0,0,0,0,LAKE OF THE WOODS,699000,699000,
